"","TrainMAE","TrainMAPE","TrainRMSE","TrainNSE","ValMAE","ValMAPE","ValRMSE","ValNSE","TestMAE","TestMAPE","TestRMSE","TestNSE"
"Dp5",0.092086255314072,0.00944087068973959,0.127541032136846,0.999426070704515,0.349631518261019,0.0464374485433283,0.493474020700128,0.99320185603445,0.341197070523833,0.0312253000212198,0.501707301526313,0.990079296815035
"D1",0.0801902338241162,0.00851324455634093,0.108554929193053,0.999565227751081,0.265560699814562,0.0289762283372821,0.384125052263531,0.99563119487384,0.268021710439335,0.0245804936643863,0.381917576875346,0.993998915712708
"D2",0.0705182846614472,0.00728162584303925,0.0979604216675162,0.9995877221851,0.240655389413651,0.0220396528600936,0.394964542323408,0.994939417477398,0.21455707502666,0.0203079921964846,0.305475359494992,0.995641277941682
"D3",0.0615124160741183,0.00657589833107021,0.0859896266924577,0.999620610349056,0.273509579042581,0.0239282689864866,0.459167149897991,0.992360786386445,0.209990036879049,0.0200122271941335,0.327786006889986,0.994157868915636
"D4",0.058871052694339,0.00636601837904355,0.0823701899647737,0.999588367878335,0.261132978484782,0.0274173528726093,0.469448157701705,0.990037995310979,0.203099868365302,0.0205722327077914,0.30769911966199,0.993652128685414
"D5",0.0644092237577794,0.00716208054147448,0.0930438212386471,0.999347786305253,0.467219944294184,0.0484553291294949,0.773007773947235,0.961999683024152,0.278985576964942,0.0279894895991365,0.4612495584069,0.981042599406271
"D6",0.0674792190332614,0.00764027562770877,0.0964111570630673,0.999042506354321,0.426481732072546,0.0490708017125929,0.619642759847717,0.961622249779376,0.251638615975354,0.0274011899732876,0.373922589651664,0.98333646524255
"D7",0.0716924731381873,0.00830402466166212,0.106671889009948,0.99826211495903,0.375245269565122,0.0499810841930357,0.533273360053528,0.951487086893493,0.237361597771484,0.0280220136582347,0.3421562984006,0.981391024607475
"D8",0.0481111075048756,0.00615153042322493,0.0695081709766614,0.998926358950021,0.24044558959099,0.0373494914021439,0.330311274241278,0.970905135439883,0.205629857910483,0.0257144383926518,0.298582854175305,0.982000138226126
"D9",0.0241599490074702,0.00351224943583495,0.032968779902816,0.999699026584344,0.182938842005293,0.0301600821996781,0.230209365998535,0.98328597246307,0.173826530797672,0.0228859911077855,0.272199596629173,0.97995112934263
"D10",0.0178950550492225,0.00272627913234634,0.0243763705138698,0.999820083847447,0.117229987556882,0.0203808520657662,0.147265824146491,0.99269025572326,0.105406103602891,0.0151754587474608,0.153619428136839,0.992497039364281
"D12",0.0165812651947965,0.00261851872823744,0.022558870617885,0.99983581329347,0.0843176898189929,0.0144624964702342,0.106891278944488,0.99540892300701,0.110555403909123,0.0161757959984593,0.156150982136401,0.990370556149566
